"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-06-04","2025","06","04","","0.5","","-1.7","","-0.6","","18.6","","0.0","","","","","","","M","","","32","","32",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-06-05","2025","06","05","","4.2","","-0.8","","1.7","","16.3","","0.0","","","","","","","M","","","","M","","M"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-06-06","2025","06","06","","5.0","","-1.0","","2.0","","16.0","","0.0","","","","","","","M","","","5","","38",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-06-07","2025","06","07","","5.8","","-1.6","","2.1","","15.9","","0.0","","","","","","","M","","","3","","36",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-06-08","2025","06","08","","7.7","","-0.2","","3.8","","14.2","","0.0","","","","","","","M","","","14","","36",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-06-09","2025","06","09","","7.0","","-0.8","","3.1","","14.9","","0.0","","","","","","","M","","","11","","36",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-06-10","2025","06","10","","8.8","","-0.5","","4.2","","13.8","","0.0","","","","","","","M","","","","M","","M"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-06-11","2025","06","11","","4.8","","1.1","","3.0","","15.0","","0.0","","","","","","","M","","","30","","35",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-06-12","2025","06","12","","3.5","","0.7","","2.1","","15.9","","0.0","","","","","","","M","","","34","","39",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-06-13","2025","06","13","","4.6","","-0.8","","1.9","","16.1","","0.0","","","","","","","M","","","3","","39",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-06-14","2025","06","14","","8.7","","0.3","","4.5","","13.5","","0.0","","","","","","","M","","","31","","47",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-06-15","2025","06","15","","8.4","","1.6","","5.0","","13.0","","0.0","","","","","","","M","","","16","","42",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-06-16","2025","06","16","","6.2","","1.9","","4.1","","13.9","","0.0","","","","","","","M","","","1","","44",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-06-17","2025","06","17","","7.7","","2.2","","5.0","","13.0","","0.0","","","","","","","M","","","","M","","M"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-06-18","2025","06","18","","5.1","","1.5","","3.3","","14.7","","0.0","","","","","","","M","","","34","","37",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-06-19","2025","06","19","","5.8","","1.0","","3.4","","14.6","","0.0","","","","","","","M","","","3","","36",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-06-20","2025","06","20","","5.4","","1.8","","3.6","","14.4","","0.0","","","","","","","M","","","1","","49",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-06-21","2025","06","21","","10.5","","2.0","","6.3","","11.7","","0.0","","","","","","","M","","","3","","38",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-06-22","2025","06","22","","10.8","","2.8","","6.8","","11.2","","0.0","","","","","","","M","","","27","","33",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-06-23","2025","06","23","","15.4","","4.5","","10.0","","8.0","","0.0","","","","","","","M","","","","M","","M"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-06-24","2025","06","24","","9.4","","3.4","","6.4","","11.6","","0.0","","","","","","","M","","","3","","51",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-06-25","2025","06","25","","6.3","","1.8","","4.1","","13.9","","0.0","","","","","","","M","","","3","","37",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-06-26","2025","06","26","","10.6","","3.1","","6.9","","11.1","","0.0","","","","","","","M","","","","M","","M"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-06-27","2025","06","27","","13.0","","5.2","","9.1","","8.9","","0.0","","","","","","","M","","","8","","32",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-06-28","2025","06","28","","14.4","","4.2","","9.3","","8.7","","0.0","","","","","","","M","","","6","","32",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-06-29","2025","06","29","","12.7","","4.4","","8.6","","9.4","","0.0","","","","","","","M","","","2","","35",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-06-30","2025","06","30","","14.5","","4.9","","9.7","","8.3","","0.0","","","","","","","M","","","1","","35",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-07-01","2025","07","01","","12.5","","3.8","","8.2","","9.8","","0.0","","","","","","","M","","","26","","37",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-07-02","2025","07","02","","9.3","","3.2","","6.3","","11.7","","0.0","","","","","","","M","","","1","","49",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-07-03","2025","07","03","","11.4","","2.1","","6.8","","11.2","","0.0","","","","","","","M","","","","","",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-07-04","2025","07","04","","12.5","","2.2","","7.4","","10.6","","0.0","","","","","","","M","","","3","","41",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-07-05","2025","07","05","","12.1","","4.1","","8.1","","9.9","","0.0","","","","","","","M","","","32","","48",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-07-06","2025","07","06","","15.6","","5.8","","10.7","","7.3","","0.0","","","","","","","M","","","34","","31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-07-07","2025","07","07","","16.3","","4.0","","10.2","","7.8","","0.0","","","","","","","M","","","27","","47",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-07-08","2025","07","08","","18.6","","7.8","","13.2","","4.8","","0.0","","","","","","","M","","","","M","","M"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-07-09","2025","07","09","","19.0","","7.5","","13.3","","4.7","","0.0","","","","","","","M","","","3","","44",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-07-10","2025","07","10","","10.8","","4.7","","7.8","","10.2","","0.0","","","","","","","M","","","33","","59",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-07-11","2025","07","11","","4.8","","2.6","","3.7","","14.3","","0.0","","","","","","","M","","","25","","57",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-07-12","2025","07","12","","8.8","","1.3","","5.1","","12.9","","0.0","","","","","","","M","","","32","","57",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-07-13","2025","07","13","","7.1","","2.1","","4.6","","13.4","","0.0","","","","","","","M","","","32","","49",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-07-14","2025","07","14","","12.4","","2.2","","7.3","","10.7","","0.0","","","","","","","M","","","30","","37",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-07-15","2025","07","15","","16.5","","4.1","","10.3","","7.7","","0.0","","","","","","","M","","","32","","32",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-07-16","2025","07","16","","14.8","","6.8","","10.8","","7.2","","0.0","","","","","","","M","","","","M","","M"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-07-17","2025","07","17","","16.0","","6.2","","11.1","","6.9","","0.0","","","","","","","M","","","3","","32",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-07-18","2025","07","18","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-07-19","2025","07","19","","9.9","","7.3","","8.6","","9.4","","0.0","","","","","","","M","","","3","","55",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-07-20","2025","07","20","","8.4","","4.8","","6.6","","11.4","","0.0","","","","","","","M","","","2","","61",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-07-21","2025","07","21","","6.7","","2.9","","4.8","","13.2","","0.0","","","","","","","M","","","1","","49",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-07-22","2025","07","22","","7.7","","1.5","","4.6","","13.4","","0.0","","","","","","","M","","","3","","41",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-07-23","2025","07","23","","6.9","","4.1","","5.5","","12.5","","0.0","","","","","","","M","","","1","","39",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-07-24","2025","07","24","","10.5","","4.2","","7.4","","10.6","","0.0","","","","","","","M","","","26","","35",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-07-25","2025","07","25","","8.2","","3.8","","6.0","","12.0","","0.0","","","","","","","M","","","1","","44",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-07-26","2025","07","26","","11.3","","3.7","","7.5","","10.5","","0.0","","","","","","","M","","","3","","49",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-07-27","2025","07","27","","7.3","","4.0","","5.7","","12.3","","0.0","","","","","","","M","","","1","","37",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-07-28","2025","07","28","","10.0","","2.8","","6.4","","11.6","","0.0","","","","","","","M","","","2","","31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-07-29","2025","07","29","","14.8","","4.0","","9.4","","8.6","","0.0","","","","","","","M","","","","M","","M"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-07-30","2025","07","30","","19.5","","6.9","","13.2","","4.8","","0.0","","","","","","","M","","","","M","","M"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-07-31","2025","07","31","","14.8","","9.3","","12.1","","5.9","","0.0","","","","","","","M","","","32","","56",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-08-01","2025","08","01","","13.2","","7.2","","10.2","","7.8","","0.0","","","","","","","M","","","31","","37",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-08-02","2025","08","02","","11.8","","5.9","","8.9","","9.1","","0.0","","","","","","","M","","","26","","52",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-08-03","2025","08","03","","","M","","M","","M","","M","","M","","","","","","M","","","27","","44",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-08-04","2025","08","04","","20.5","","7.2","","13.9","","4.1","","0.0","","","","","","","M","","","26","","45",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-08-05","2025","08","05","","14.4","","5.7","","10.1","","7.9","","0.0","","","","","","","M","","","32","","58",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-08-06","2025","08","06","","7.4","","2.9","","5.2","","12.8","","0.0","","","","","","","M","","","32","","63",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-08-07","2025","08","07","","12.1","","3.0","","7.6","","10.4","","0.0","","","","","","","M","","","33","","35",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-08-08","2025","08","08","","7.9","","4.0","","6.0","","12.0","","0.0","","","","","","","M","","","27","","51",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-08-09","2025","08","09","","8.3","","3.4","","5.9","","12.1","","0.0","","","","","","","M","","","","","",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-08-10","2025","08","10","","7.3","","2.8","","5.1","","12.9","","0.0","","","","","","","M","","","3","","33",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-08-11","2025","08","11","","7.8","","1.3","","4.6","","13.4","","0.0","","","","","","","M","","","","M","","M"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-08-12","2025","08","12","","11.9","","3.5","","7.7","","10.3","","0.0","","","","","","","M","","","","M","","M"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-08-13","2025","08","13","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-08-14","2025","08","14","","12.4","","4.7","","8.6","","9.4","","0.0","","","","","","","M","","","","M","","M"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-08-15","2025","08","15","","9.5","","2.3","","5.9","","12.1","","0.0","","","","","","","M","","","","M","","M"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-08-16","2025","08","16","","14.1","","3.5","","8.8","","9.2","","0.0","","","","","","","M","","","","M","","M"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-08-17","2025","08","17","","13.6","","6.7","","10.2","","7.8","","0.0","","","","","","","M","","","8","","42",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-08-18","2025","08","18","","14.0","","5.8","","9.9","","8.1","","0.0","","","","","","","M","","","7","","37",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-08-19","2025","08","19","","13.8","","5.5","","9.7","","8.3","","0.0","","","","","","","M","","","3","","33",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-08-20","2025","08","20","","13.9","","5.9","","9.9","","8.1","","0.0","","","","","","","M","","","","M","","M"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-08-21","2025","08","21","","15.1","","8.0","","11.6","","6.4","","0.0","","","","","","","M","","","","M","","M"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-08-22","2025","08","22","","18.2","","6.7","","12.5","","5.5","","0.0","","","","","","","M","","","","M","","M"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-08-23","2025","08","23","","16.2","","8.2","","12.2","","5.8","","0.0","","","","","","","M","","","26","","40",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-08-24","2025","08","24","","15.1","","6.3","","10.7","","7.3","","0.0","","","","","","","M","","","32","","65",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-08-25","2025","08","25","","6.8","","3.2","","5.0","","13.0","","0.0","","","","","","","M","","","33","","56",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-08-26","2025","08","26","","12.0","","4.1","","8.1","","9.9","","0.0","","","","","","","M","","","20","","46",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-08-27","2025","08","27","","12.4","","7.5","","10.0","","8.0","","0.0","","","","","","","M","","","27","","43",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-08-28","2025","08","28","","10.6","","5.8","","8.2","","9.8","","0.0","","","","","","","M","","","34","","49",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-08-29","2025","08","29","","6.1","","2.3","","4.2","","13.8","","0.0","","","","","","","M","","","33","","46",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-08-30","2025","08","30","","8.9","","4.1","","6.5","","11.5","","0.0","","","","","","","M","","","29","","96",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-08-31","2025","08","31","","4.3","","0.7","","2.5","","15.5","","0.0","","","","","","","M","","","27","","74",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-09-01","2025","09","01","","6.0","","1.3","","3.7","","14.3","","0.0","","","","","","","M","","","34","","42",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-09-02","2025","09","02","","8.8","","1.6","","5.2","","12.8","","0.0","","","","","","","M","","","24","","36",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-09-03","2025","09","03","","8.0","","4.9","","6.5","","11.5","","0.0","","","","","","","M","","","36","","40",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-09-04","2025","09","04","","6.0","","3.7","","4.9","","13.1","","0.0","","","","","","","M","","","","M","","M"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-09-05","2025","09","05","","6.8","","2.6","","4.7","","13.3","","0.0","","","","","","","M","","","13","","33",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-09-06","2025","09","06","","8.0","","3.4","","5.7","","12.3","","0.0","","","","","","","M","","","14","","59",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-09-07","2025","09","07","","5.4","","1.9","","3.7","","14.3","","0.0","","","","","","","M","","","32","","51",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-09-08","2025","09","08","","4.2","","0.7","","2.5","","15.5","","0.0","","","","","","","M","","","33","","46",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-09-09","2025","09","09","","5.3","","0.8","","3.1","","14.9","","0.0","","","","","","","M","","","","M","","M"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-09-10","2025","09","10","","8.4","","0.8","","4.6","","13.4","","0.0","","","","","","","M","","","","","",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-09-11","2025","09","11","","10.2","","0.7","","5.5","","12.5","","0.0","","","","","","","M","","","14","","31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-09-12","2025","09","12","","7.6","","4.7","","6.2","","11.8","","0.0","","","","","","","M","","","13","","62",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-09-13","2025","09","13","","6.3","","3.4","","4.9","","13.1","","0.0","","","","","","","M","","","26","","62",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-09-14","2025","09","14","","6.1","","-0.2","","3.0","","15.0","","0.0","","","","","","","M","","","3","","35",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-09-15","2025","09","15","","1.5","","-1.2","","0.2","","17.8","","0.0","","","","","","","M","","","6","","32",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-09-16","2025","09","16","","4.1","","0.5","","2.3","","15.7","","0.0","","","","","","","M","","","8","","31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-09-17","2025","09","17","","4.6","","1.3","","3.0","","15.0","","0.0","","","","","","","M","","","10","","38",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-09-18","2025","09","18","","7.2","","1.4","","4.3","","13.7","","0.0","","","","","","","M","","","14","","86",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-09-19","2025","09","19","","7.6","","3.7","","5.7","","12.3","","0.0","","","","","","","M","","","13","","70",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-09-20","2025","09","20","","11.6","","2.7","","7.2","","10.8","","0.0","","","","","","","M","","","17","","47",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-09-21","2025","09","21","","8.4","","4.9","","6.7","","11.3","","0.0","","","","","","","M","","","14","","51",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-09-22","2025","09","22","","10.4","","3.1","","6.8","","11.2","","0.0","","","","","","","M","","","31","","53",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-09-23","2025","09","23","","3.9","","0.8","","2.4","","15.6","","0.0","","","","","","","M","","","28","","44",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-09-24","2025","09","24","","3.3","","-0.5","","1.4","","16.6","","0.0","","","","","","","M","","","32","","31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-09-25","2025","09","25","","4.3","","-0.5","","1.9","","16.1","","0.0","","","","","","","M","","","","","",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-09-26","2025","09","26","","7.1","","0.9","","4.0","","14.0","","0.0","","","","","","","M","","","","","",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-09-27","2025","09","27","","5.8","","3.5","","4.7","","13.3","","0.0","","","","","","","M","","","","M","","M"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-09-28","2025","09","28","","4.0","","2.4","","3.2","","14.8","","0.0","","","","","","","M","","","36","","43",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-09-29","2025","09","29","","4.9","","0.8","","2.9","","15.1","","0.0","","","","","","","M","","","16","","31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-09-30","2025","09","30","","4.7","","2.9","","3.8","","14.2","","0.0","","","","","","","M","","","12","","61",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-10-01","2025","10","01","","5.3","","1.3","","3.3","","14.7","","0.0","","","","","","","M","","","30","","57",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-10-02","2025","10","02","","2.3","","-0.6","","0.9","","17.1","","0.0","","","","","","","M","","","30","","54",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-10-03","2025","10","03","","4.0","","0.1","","2.1","","15.9","","0.0","","","","","","","M","","","11","","50",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-10-04","2025","10","04","","1.4","","-1.0","","0.2","","17.8","","0.0","","","","","","","M","","","2","","54",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-10-05","2025","10","05","","-0.6","","-4.5","","-2.6","","20.6","","0.0","","","","","","","M","","","32","","51",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-10-06","2025","10","06","","-0.8","","-3.3","","-2.1","","20.1","","0.0","","","","","","","M","","","32","","46",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-10-07","2025","10","07","","1.5","","-3.2","","-0.9","","18.9","","0.0","","","","","","","M","","","20","","34",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-10-08","2025","10","08","","1.5","","0.3","","0.9","","17.1","","0.0","","","","","","","M","","","24","","35",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-10-09","2025","10","09","","2.0","","-8.9","","-3.5","","21.5","","0.0","","","","","","","M","","","2","","59",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-10-10","2025","10","10","","1.2","","-8.8","","-3.8","","21.8","","0.0","","","","","","","M","","","27","","61",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-10-11","2025","10","11","","0.7","","-7.1","","-3.2","","21.2","","0.0","","","","","","","M","","","28","","55",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-10-12","2025","10","12","","-1.2","","-7.5","","-4.4","","22.4","","0.0","","","","","","","M","","","28","","52",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-10-13","2025","10","13","","1.8","","-7.5","","-2.9","","20.9","","0.0","","","","","","","M","","","20","","36",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-10-14","2025","10","14","","1.7","","-1.2","","0.3","","17.7","","0.0","","","","","","","M","","","29","","45",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-10-15","2025","10","15","","-1.1","","-4.1","","-2.6","","20.6","","0.0","","","","","","","M","","","28","","53",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-10-16","2025","10","16","","-1.4","","-3.8","","-2.6","","20.6","","0.0","","","","","","","M","","","5","","34",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-10-17","2025","10","17","","-2.7","","-5.1","","-3.9","","21.9","","0.0","","","","","","","M","","","5","","45",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-10-18","2025","10","18","","0.9","","-2.9","","-1.0","","19.0","","0.0","","","","","","","M","","","4","","40",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-10-19","2025","10","19","","1.0","","-1.2","","-0.1","","18.1","","0.0","","","","","","","M","","","12","","43",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-10-20","2025","10","20","","-1.2","","-2.3","","-1.8","","19.8","","0.0","","","","","","","M","","","30","","43",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-10-21","2025","10","21","","-1.9","","-3.6","","-2.8","","20.8","","0.0","","","","","","","M","","","29","","61",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-10-22","2025","10","22","","-3.1","","-5.1","","-4.1","","22.1","","0.0","","","","","","","M","","","29","","66",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-10-23","2025","10","23","","0.8","","-5.2","","-2.2","","20.2","","0.0","","","","","","","M","","","15","","63",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-10-24","2025","10","24","","1.6","","0.5","","1.1","","16.9","","0.0","","","","","","","M","","","15","","62",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-10-25","2025","10","25","","1.9","","-1.8","","0.1","","17.9","","0.0","","","","","","","M","","","26","","40",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-10-26","2025","10","26","","-0.3","","-8.4","","-4.4","","22.4","","0.0","","","","","","","M","","","36","","45",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-10-27","2025","10","27","","-7.3","","-13.6","","-10.5","","28.5","","0.0","","","","","","","M","","","34","","37",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-10-28","2025","10","28","","-10.1","","-13.5","","-11.8","","29.8","","0.0","","","","","","","M","","","","M","","M"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-10-29","2025","10","29","","-4.3","","-11.1","","-7.7","","25.7","","0.0","","","","","","","M","","","15","","33",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-10-30","2025","10","30","","-2.3","","-6.4","","-4.4","","22.4","","0.0","","","","","","","M","","","18","","33",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-10-31","2025","10","31","","-1.4","","-3.3","","-2.4","","20.4","","0.0","","","","","","","M","","","9","","34",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-11-01","2025","11","01","","-1.4","","-3.2","","-2.3","","20.3","","0.0","","","","","","","M","","","11","","60",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-11-02","2025","11","02","","-0.7","","-1.8","","-1.3","","19.3","","0.0","","","","","","","M","","","8","","52",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-11-03","2025","11","03","","-0.8","","-17.7","","-9.3","","27.3","","0.0","","","","","","","M","","","2","","83",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-11-04","2025","11","04","","-17.3","","-21.7","","-19.5","","37.5","","0.0","","","","","","","M","","","32","","60",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-11-05","2025","11","05","","-14.1","","-22.0","","-18.1","","36.1","","0.0","","","","","","","M","","","32","","69",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-11-06","2025","11","06","","-14.0","","-19.0","","-16.5","","34.5","","0.0","","","","","","","M","","","34","","55",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-11-07","2025","11","07","","-13.6","","-18.8","","-16.2","","34.2","","0.0","","","","","","","M","","","","M","","M"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-11-08","2025","11","08","","-11.8","","-13.7","","-12.8","","30.8","","0.0","","","","","","","M","","","9","","37",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-11-09","2025","11","09","","-7.2","","-13.3","","-10.3","","28.3","","0.0","","","","","","","M","","","9","","47",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-11-10","2025","11","10","","-7.1","","-11.3","","-9.2","","27.2","","0.0","","","","","","","M","","","6","","66",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-11-11","2025","11","11","","-8.2","","-10.4","","-9.3","","27.3","","0.0","","","","","","","M","","","5","","63",""
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2025-11-12","2025","11","12","","-8.1","","-15.6","","-11.9","","29.9","","0.0","","","","","","","M","","","4","","50",""
